,tns_name,previous_name,repeater_name,ra,dec,gb,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,repeating,redshift,fre_width,fre_width_ob,rest_width,energy,bright_temp,log_fre_width,log_redshift,log_rest_width,log_energy,log_bright_temp
52,FRB20181013E,-9999,-9999,307.28,69.02,17.1,344.5,0.0,1.4,0.0,2.7,345.297,264.5,256.0,2.9499999999999997,0.0011,0.62,2.03,0,0.00086,-5.6,0.9,623.0,400.2,400.2,319659.367,319194,0,0.20763257283990985,269.0605372287319,222.8,0.7121371345405123,9.480491727470713e+38,4.761877459971916e+28,2.429850005007978,-0.6827045145279851,-3.1474363672627192,38.97683086360271,28.677778215272397
53,FRB20181013B,-9999,-9999,97.18,52.04,17.78,284.7,0.0,19.2,0.0,38.2,277.507,191.7,173.0,119.92999999999999,0.0656,0.56,21.0,0,0.0028,-0.5,-4.2,790.4,400.2,400.2,4069660.806,4061225,0,0.11860538398142309,436.47982082955133,390.2,2.503116863280268,3.1027201977445476e+39,8.232872880958106e+24,2.639964170367013,-0.9258955961289995,-2.6015188739662944,39.49174261282085,24.91555140977267
54,FRB20181013C,-9999,-9999,146.07,34.1,49.48,1004.5,0.0,1.3,0.0,2.5,1005.766,967.2,980.1,4.92,0.000435,0.44,1.64,0,0.00076,-3.7,-0.8,698.0,400.2,400.2,261701.004,262649,0,1.000626739643124,595.7866430657224,297.8,0.37988095677236144,1.910621963469432e+40,3.030743070030413e+29,2.7750907625448926,0.0002721043082244435,-3.420352476847944,40.28117476585125,29.481549120795993
55,FRB20181014A,-9999,-9999,46.01,63.33,4.19,1311.8,0.0,1.5,0.0,2.9,1314.8896,1128.2,1014.9,5.8999999999999995,0.0023,0.99,2.7,0,0.00205,3.7,0.5,800.2,456.0,800.2,258344.244,256698,0,1.1828154070674404,751.3250631126131,344.20000000000005,0.9391540820916806,8.702922625668818e+40,1.6412089376174355e+29,2.875827876514395,0.0729169729058153,-3.027263149467099,40.939665122394615,29.21516387336151
56,FRB20181014B,-9999,-9999,78.56,14.66,-13.82,888.0,0.0,1.2,0.0,2.3,887.972,785.4,737.4,3.93,0.0011,0.65,1.88,0,0.00073,3.6,-9.0,800.2,400.2,487.5,304365.112,302169,0,0.7976237209412922,719.0494883765169,400.00000000000006,0.4060916595035523,1.7015782069085233e+40,3.0159590892376008e+29,2.856758781605712,-0.09820193879780381,-3.3913759301572934,40.23085191467089,29.479425446137103
57,FRB20181014C,-9999,-9999,117.87,41.59,28.36,752.1,0.0,2.4,0.0,4.3,752.1671,692.3,689.1,3.93,0.001,0.57,1.48,0,0.00079,18.0,-30.5,707.7,408.6,537.7,340330.863,355674,0,0.6941940453859842,506.73343897494794,299.1,0.4662984161415915,1.1167804835258108e+40,1.6432465562401493e+29,2.704779564016603,-0.1585191159125183,-3.3313360596948436,40.04796781576341,29.215702730800288
58,FRB20181014D,-9999,-9999,216.04,-2.93,52.54,376.9,0.0,19.6,0.0,39.6,377.132,347.1,350.6,1.97,0.0021,8.4,18.0,0,0.00172,0.4,-0.5,800.2,400.2,624.3,292258.322,291226,0,0.30511028147848746,522.044112591395,400.00000000000006,1.3178962915313999,2.90639023629264e+40,1.317574662781908e+30,2.7177072023233073,-0.5155431574374388,-2.880118764087796,40.46335392589121,30.119775234674293
59,FRB20181015A,-9999,-9999,175.76,83.58,33.25,567.7,8.4,3.8,17.2,8.0,568.8231,522.3,528.4,1.97,0.0009,1.51,3.4,0,0.000738,0.0,-0.9,800.2,400.2,403.2,314700.447,314938,0,0.5046852235005781,601.8740894002314,400.00000000000006,0.49046803176752035,1.0030427808924928e+40,1.6063879922134702e+30,2.7795056474073365,-0.29697941063406835,-3.3093892942563325,40.001319456559116,30.205850449115996
60,FRB20181017B,-9999,-9999,237.76,78.5,34.93,304.1,32.8,8.5,63.1,16.7,307.369,263.7,269.9,12.78,0.0043,1.06,6.5,0,0.00231,61.0,-77.0,704.8,499.3,593.2,622489.733,725945,0,0.20667238677028615,247.97117548129376,205.49999999999994,1.9143555660396112,4.456748736512438e+39,1.955566139531553e+27,2.3944012007578146,-0.6847175450195072,-2.7179773946535826,39.64901815003364,27.291272508883313
61,FRB20181017A,181017.J1705+68,FRB20181017A,256.33,68.28,34.8,1268.1,0.0,25.3,0.0,47.3,1281.875,1239.0,1244.9,37.36,0.0277,0.66,16.0,0,0.00277,29.5,-50.5,663.5,432.9,535.9,2319696.153,2311913,1,1.3100367094294054,532.6944651944209,230.60000000000002,1.1991151433624658,4.1973366016624425e+41,7.393664333288055e+27,2.7264781843988546,0.11728346548725423,-2.9211391123757258,41.622973798466404,27.86885973004696
